check_id,group,bench_name,status,hit_count,pass,fail_reason,required_events,observed_events
BASIC_CK_01,A,reset_idle,PASS,1,1,NONE,reset_sequence;all_l1_blocks_idle,reset_idle_violation=0;vbuf_empty_observed=1
BASIC_CK_02,A,reset_idle,PASS,1,1,NONE,no_icache_response_before_valid_fetch,pre_fetch_resp_violation=0;icache_refill=2
BASIC_CK_03,A,reset_idle,PASS,1,1,NONE,no_dcache_response_before_valid_request,pre_data_resp_violation=0
BASIC_CK_04,A,reset_idle,PASS,1,1,NONE,vbuf_empty_not_busy_not_full_after_reset,vbuf_empty_observed=1;vbuf_busy=0;vbuf_full=0
BASIC_CK_05,A,basic_load_store,PASS,3,1,NONE,first_ifetch_and_first_dload_after_reset,icache_access=17;icache_refill=5;loads=3
DCACHE_CK_01,C,repeated_load,PASS,128,1,NONE,load_hit_correct_data_after_refill,loads=128;read_miss=1;checksum=1
DCACHE_CK_02,C,repeated_load,PASS,128,1,NONE,load_hit_no_mshr_alloc_proxy,loads=128;read_miss=1
DCACHE_CK_03,C,repeated_load,PASS,128,1,NONE,load_hit_no_new_memory_read,mem_read=1;loads=128
DCACHE_CK_04,C,load_miss_variants,PASS,5,1,NONE,load_miss_allocates_mshr_reads_memory_refills_responds,mem_read=5;refill_done=5;loads=5
DCACHE_CK_05,C,store_hit_dirty,PASS,1,1,NONE,store_hit_updates_cache_data_array_readback,stores=1;loads=2;mem_write=2
DCACHE_CK_06,C,store_miss_clean_victim,PASS,1,1,NONE,store_miss_clean_refill_merge_store,write_miss=1;mem_read=1;mem_write=2
DCACHE_CK_07,C,no_deadlock_smoke,PASS,1,1,NONE,no_double_response_per_dcache_request,double_response=0;loads=3;stores=1
PLRU_CK_01,D,plru_invalid_way,PASS,4,1,NONE,miss_uses_invalid_way_before_replacement,victim_invalid=4;vbuf_alloc=0
PLRU_CK_02,D,plru_clean_replacement,PASS,2,1,NONE,full_set_clean_victim_refill_no_vbuf,victim_clean=2;vbuf_alloc=0;mem_write=2
PLRU_CK_03,D,dirty_eviction_vbuf,PASS,4,1,NONE,dirty_victim_triggers_vbuf_blocks_overwrite_until_safe,victim_dirty=4;vbuf_alloc=1;safe=3
PLRU_CK_04,D,plru_update_after_hit,PASS,4,1,NONE,plru_state_updates_after_hit,plru_update=4;loads=5
PLRU_CK_05,D,repeated_load,PASS,1,1,NONE,plru_state_updates_after_refill,refill_dir_write=1;plru_update=1
PLRU_CK_06,D,plru_update_after_hit,PASS,8,1,NONE,repeated_access_expected_replacement_order,victim_way_onehot=8;victim_select=8
WB_CK_01,E,store_hit_dirty,PASS,1,1,NONE,cacheable_store_hit_writeback_no_immediate_ram_write,stores=1;vbuf_writeback_done=0;victim_dirty=0;mem_write=2
WB_CK_02,E,dirty_eviction_vbuf,PASS,4,1,NONE,store_sets_dirty_bit_later_seen_as_dirty_victim,victim_dirty=4;mem_write=3;checksum=1
WB_CK_03,E,store_byte_half_corner,PASS,4,1,NONE,store_hit_byte_enable_updates_cache_data,byte_store=1;half_store=1;checksum=1
WB_CK_04,E,vbuf_ordering,PASS,1,1,NONE,store_miss_refill_merge_later_seen_as_dirty_victim,write_miss=1;victim_dirty=5;refill_done=4;checksum=1
WB_CK_05,E,dirty_eviction_vbuf,PASS,4,1,NONE,dirty_victim_detected_not_overwritten_before_safe,victim_dirty=4;safe=3;vbuf_alloc=1
WB_CK_06,E,vbuf_forward_load,PASS,1,1,NONE,dirty_eviction_writes_latest_data_no_loss,vbuf_writeback_done=1;checksum=1;loads=4;mem_read=3
VBUF_CK_01,F,dirty_eviction_vbuf,PASS,1,1,NONE,vbuf_alloc_capture_victim_metadata,vbuf_alloc=1;victim_dirty=4
VBUF_CK_02,F,dirty_eviction_vbuf,PASS,1,1,NONE,vbuf_requests_data_ram_to_capture_victim,vbuf_capture_start=1
VBUF_CK_03,F,dirty_eviction_vbuf,PASS,00000002,1,NONE,vbuf_capture_advances_on_data_ram_read_accept,vbuf_capture_start=1;vbuf_capture_done=00000002
VBUF_CK_04,F,dirty_eviction_vbuf,PASS,00000002,1,NONE,vbuf_captures_full_dirty_line_safe_to_overwrite,capture_done=00000002;safe=3
VBUF_CK_05,F,dirty_eviction_vbuf,PASS,3,1,NONE,mshr_refill_continues_after_safe_to_overwrite,safe=3;refill_done=3
VBUF_CK_06,F,dirty_eviction_vbuf,PASS,168,1,NONE,vbuf_busy_full_state_after_alloc,vbuf_busy=168;vbuf_full=169
VBUF_CK_07,F,dirty_eviction_vbuf,PASS,1,1,NONE,vbuf_drain_writeback_done_correct_addr_data,vbuf_writeback_done=1;mem_write=3;first_wb_addr=10000000
VBUF_CK_08,F,multi_dirty_eviction,PASS,2,1,NONE,no_double_writeback_owner_mode_proxy,vbuf_alloc=2;vbuf_writeback_done=2;mem_write=4;double_response=0
VBUF_CK_09,F,vbuf_forward_load,PASS,1,1,NONE,load_miss_vbuf_hit_forwards_latest_data,vbuf_forward_hit=1;fwd_req=6;entry_valid=2;nline_match=1;checksum=1
VBUF_CK_10,F,vbuf_forward_load,PASS,1,1,NONE,load_miss_vbuf_hit_no_extra_mshr_proxy,vbuf_forward_hit=1;fwd_req=6;entry_valid=2;nline_match=1;mem_read=3
VBUF_CK_11,F,vbuf_ordering,PASS,1,1,NONE,store_miss_vbuf_hit_replay_proxy,write_miss=1;vbuf_alloc=1;stores=2
VBUF_CK_12,F,vbuf_full_backpressure,PASS,338,1,NONE,vbuf_full_backpressure_blocks_new_dirty_victim_resumes,vbuf_full=338;vbuf_writeback_done=2
CORNER_CK_01,H,load_after_store_same_line,PASS,1,1,NONE,load_after_store_same_line_latest_data,stores=1;loads=1;checksum=1
CORNER_CK_02,H,vbuf_forward_load,PASS,1,1,NONE,load_during_vbuf_writeback_same_line_uses_vbuf,vbuf_forward_hit=1;fwd_req=6;entry_valid=2;nline_match=1;checksum=1
CORNER_CK_03,H,vbuf_ordering,PASS,2,1,NONE,store_during_vbuf_writeback_same_line_replay_proxy,write_miss=1;stores=2;checksum=1
CORNER_CK_04,H,repeated_load,PASS,128,1,NONE,same_line_repeated_loads_do_not_duplicate_memory_reads,loads=128;mem_read=1
CORNER_CK_05,H,vbuf_ordering,PASS,4,1,NONE,mshr_hit_request_dependency_proxy,mem_read=4;vbuf_alloc=1;write_miss=1
CORNER_CK_06,H,vbuf_ordering,PASS,4,1,NONE,after_refill_dependency_clears_replay_correct,refill_done=4;double_response=0
CORNER_CK_07,H,no_deadlock_smoke,PASS,2,1,NONE,icache_fetch_miss_and_dcache_miss_near_each_other_no_wrong_response,icache_miss=3;dcache_read_miss=2;double_response=0
