Bench,Mode,IMEM_LATENCY,DMEM_LATENCY,Cycles,IMEM_Reads,DMEM_Reads,DMEM_Writes,TotalMemReq,IC_Miss,IC_Refill,DCache_Miss,Result
basic_load_store,NO_CACHE,20,20,331,15,3,5,23,NA,NA,NA,PASS
basic_load_store,DCACHE_ONLY,20,20,336,15,1,2,18,NA,NA,2,PASS
basic_load_store,FULL_L1,20,20,166,4,2,0,6,4,4,4,PASS
repeated_load,NO_CACHE,20,20,5699,259,128,2,389,NA,NA,NA,PASS
repeated_load,DCACHE_ONLY,20,20,5704,259,1,2,262,NA,NA,1,PASS
repeated_load,FULL_L1,20,20,1999,65,2,0,67,65,65,3,PASS
load_reuse_loop,NO_CACHE,20,20,31043,1411,512,2,1925,NA,NA,NA,PASS
load_reuse_loop,DCACHE_ONLY,20,20,31048,1411,1,2,1414,NA,NA,1,PASS
load_reuse_loop,FULL_L1,20,20,3465,3,2,0,5,3,4,3,PASS
store_load_reuse_loop,NO_CACHE,20,20,26819,1219,256,258,1733,NA,NA,NA,PASS
store_load_reuse_loop,DCACHE_ONLY,20,20,26824,1219,1,2,1222,NA,NA,2,PASS
store_load_reuse_loop,FULL_L1,20,20,3120,5,2,0,7,5,6,4,PASS
array_sum,NO_CACHE,20,20,1475,67,32,2,101,NA,NA,NA,PASS
array_sum,DCACHE_ONLY,20,20,1480,67,8,2,77,NA,NA,8,PASS
array_sum,FULL_L1,20,20,720,17,9,0,26,17,17,10,PASS
store_then_load_many,NO_CACHE,20,20,6051,275,128,10,413,NA,NA,NA,PASS
store_then_load_many,DCACHE_ONLY,20,20,6056,275,2,2,279,NA,NA,4,PASS
store_then_load_many,FULL_L1,20,20,2139,69,3,0,72,69,69,6,PASS
stride_access_s1,NO_CACHE,20,20,771,35,16,2,53,NA,NA,NA,PASS
stride_access_s1,DCACHE_ONLY,20,20,776,35,4,2,41,NA,NA,4,PASS
stride_access_s1,FULL_L1,20,20,388,9,5,0,14,9,9,6,PASS
stride_access_s2,NO_CACHE,20,20,771,35,16,2,53,NA,NA,NA,PASS
stride_access_s2,DCACHE_ONLY,20,20,776,35,8,2,45,NA,NA,8,PASS
stride_access_s2,FULL_L1,20,20,503,9,9,0,18,9,9,10,PASS
stride_access_s4,NO_CACHE,20,20,771,35,16,2,53,NA,NA,NA,PASS
stride_access_s4,DCACHE_ONLY,20,20,776,35,16,2,53,NA,NA,16,PASS
stride_access_s4,FULL_L1,20,20,703,9,17,0,26,9,9,18,PASS
stride_access_s8,NO_CACHE,20,20,771,35,16,2,53,NA,NA,NA,PASS
stride_access_s8,DCACHE_ONLY,20,20,776,35,16,2,53,NA,NA,16,PASS
stride_access_s8,FULL_L1,20,20,752,9,18,1,28,9,10,20,PASS
stride_access_s16,NO_CACHE,20,20,771,35,16,2,53,NA,NA,NA,PASS
stride_access_s16,DCACHE_ONLY,20,20,776,35,16,2,53,NA,NA,16,PASS
stride_access_s16,FULL_L1,20,20,752,9,18,1,28,9,10,20,PASS
tight_loop_fetch,FULL_L1,20,20,589,2,1,0,3,2,2,2,PASS
mixed_i_d_locality,FULL_L1,20,20,969,3,2,0,5,3,4,3,PASS
