tool,mode,bench,imem_latency,dmem_latency,cycles,imem_reads,dmem_reads,dmem_writes,total_mem_req,dcache_access,dcache_hit,dcache_miss,hit_rate,refill,writeback,vbuf_alloc,expected,actual,result
verilator,FULL_L1,repeated_load,20,20,1999,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,repeated_load,20,20,1999,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,basic_load_store,20,20,166,4,2,0,6,6,2,4,CALC,4,NA,NA,00000066,00000066,PASS
verilator,FULL_L1,repeated_load,20,20,1999,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,array_sum,20,20,720,17,9,0,26,32,22,10,CALC,17,NA,NA,00000210,00000210,PASS
verilator,FULL_L1,store_then_load_many,20,20,2139,69,3,0,72,136,130,6,CALC,69,NA,NA,000002c0,000002c0,PASS
verilator,FULL_L1,basic_load_store,20,20,166,4,2,0,6,6,2,4,CALC,4,NA,NA,00000066,00000066,PASS
verilator,FULL_L1,repeated_load,20,20,1999,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,stride_access,20,20,703,9,17,0,26,16,0,18,CALC,9,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,tight_loop_fetch,20,20,589,2,1,0,3,0,0,2,  NA,2,NA,NA,00000040,00000040,PASS
verilator,FULL_L1,mixed_i_d_locality,20,20,969,3,2,0,5,128,125,3,CALC,4,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,load_reuse_loop,20,20,3465,3,2,0,5,512,509,3,CALC,4,NA,NA,00001000,00001000,PASS
verilator,FULL_L1,repeated_load,5,5,994,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,stride_access,5,5,178,9,5,0,14,16,10,6,CALC,9,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,5,5,233,9,9,0,18,16,6,10,CALC,9,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,5,5,313,9,17,0,26,16,0,18,CALC,9,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,5,5,329,9,18,1,28,16,0,20,CALC,10,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,5,5,329,9,18,1,28,16,0,20,CALC,10,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,tight_loop_fetch,5,5,544,2,1,0,3,0,0,2,  NA,2,NA,NA,00000040,00000040,PASS
verilator,FULL_L1,mixed_i_d_locality,5,5,879,3,2,0,5,128,125,3,CALC,4,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,repeated_load,5,5,994,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,repeated_load,5,5,994,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,repeated_load,5,5,994,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,basic_load_store,20,20,166,4,2,0,6,6,2,4,CALC,4,NA,NA,00000066,00000066,PASS
verilator,FULL_L1,repeated_load,20,20,1999,65,2,0,67,128,125,3,CALC,65,NA,NA,00000400,00000400,PASS
verilator,FULL_L1,load_reuse_loop,20,20,3465,3,2,0,5,512,509,3,CALC,4,NA,NA,00001000,00001000,PASS
verilator,FULL_L1,store_load_reuse_loop,20,20,3120,5,2,0,7,512,508,4,CALC,6,NA,NA,00000280,00000280,PASS
verilator,FULL_L1,array_sum,20,20,720,17,9,0,26,32,22,10,CALC,17,NA,NA,00000210,00000210,PASS
verilator,FULL_L1,store_then_load_many,20,20,2139,69,3,0,72,136,130,6,CALC,69,NA,NA,000002c0,000002c0,PASS
verilator,FULL_L1,stride_access,20,20,388,9,5,0,14,16,10,6,CALC,9,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,20,20,503,9,9,0,18,16,6,10,CALC,9,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,20,20,703,9,17,0,26,16,0,18,CALC,9,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,20,20,752,9,18,1,28,16,0,20,CALC,10,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,stride_access,20,20,752,9,18,1,28,16,0,20,CALC,10,NA,NA,00000088,00000088,PASS
verilator,FULL_L1,tight_loop_fetch,20,20,589,2,1,0,3,0,0,2,  NA,2,NA,NA,00000040,00000040,PASS
verilator,FULL_L1,mixed_i_d_locality,20,20,969,3,2,0,5,128,125,3,CALC,4,NA,NA,00000400,00000400,PASS
