mode,bench,imem_latency,dmem_latency,cycles,imem_reads,imem_writes,dmem_reads,dmem_writes,total_mem_req,dcache_access,dcache_hit,dcache_miss,refill,dirty_eviction,writeback,vbuf_alloc,vbuf_writeback,result
FULL_L1,repeated_load,20,20,1999,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,20,20,1999,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,basic_load_store,20,20,166,4,0,2,0,6,6,2,4,4,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,20,20,1999,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,array_sum,20,20,720,17,0,9,0,26,32,22,10,17,NA,NA,NA,NA,PASS
FULL_L1,store_then_load_many,20,20,2139,69,0,3,0,72,136,130,6,69,NA,NA,NA,NA,PASS
FULL_L1,basic_load_store,20,20,166,4,0,2,0,6,6,2,4,4,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,20,20,1999,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,stride_access,20,20,703,9,0,17,0,26,16,0,18,9,NA,NA,NA,NA,PASS
FULL_L1,tight_loop_fetch,20,20,589,2,0,1,0,3,0,0,2,2,NA,NA,NA,NA,PASS
FULL_L1,mixed_i_d_locality,20,20,969,3,0,2,0,5,128,125,3,4,NA,NA,NA,NA,PASS
FULL_L1,load_reuse_loop,20,20,3465,3,0,2,0,5,512,509,3,4,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,5,5,994,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,stride_access,5,5,178,9,0,5,0,14,16,10,6,9,NA,NA,NA,NA,PASS
FULL_L1,stride_access,5,5,233,9,0,9,0,18,16,6,10,9,NA,NA,NA,NA,PASS
FULL_L1,stride_access,5,5,313,9,0,17,0,26,16,0,18,9,NA,NA,NA,NA,PASS
FULL_L1,stride_access,5,5,329,9,0,18,1,28,16,0,20,10,NA,NA,NA,NA,PASS
FULL_L1,stride_access,5,5,329,9,0,18,1,28,16,0,20,10,NA,NA,NA,NA,PASS
FULL_L1,tight_loop_fetch,5,5,544,2,0,1,0,3,0,0,2,2,NA,NA,NA,NA,PASS
FULL_L1,mixed_i_d_locality,5,5,879,3,0,2,0,5,128,125,3,4,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,5,5,994,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,5,5,994,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,5,5,994,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,basic_load_store,20,20,166,4,0,2,0,6,6,2,4,4,NA,NA,NA,NA,PASS
FULL_L1,repeated_load,20,20,1999,65,0,2,0,67,128,125,3,65,NA,NA,NA,NA,PASS
FULL_L1,load_reuse_loop,20,20,3465,3,0,2,0,5,512,509,3,4,NA,NA,NA,NA,PASS
FULL_L1,store_load_reuse_loop,20,20,3120,5,0,2,0,7,512,508,4,6,NA,NA,NA,NA,PASS
FULL_L1,array_sum,20,20,720,17,0,9,0,26,32,22,10,17,NA,NA,NA,NA,PASS
FULL_L1,store_then_load_many,20,20,2139,69,0,3,0,72,136,130,6,69,NA,NA,NA,NA,PASS
FULL_L1,stride_access,20,20,388,9,0,5,0,14,16,10,6,9,NA,NA,NA,NA,PASS
FULL_L1,stride_access,20,20,503,9,0,9,0,18,16,6,10,9,NA,NA,NA,NA,PASS
FULL_L1,stride_access,20,20,703,9,0,17,0,26,16,0,18,9,NA,NA,NA,NA,PASS
FULL_L1,stride_access,20,20,752,9,0,18,1,28,16,0,20,10,NA,NA,NA,NA,PASS
FULL_L1,stride_access,20,20,752,9,0,18,1,28,16,0,20,10,NA,NA,NA,NA,PASS
FULL_L1,tight_loop_fetch,20,20,589,2,0,1,0,3,0,0,2,2,NA,NA,NA,NA,PASS
FULL_L1,mixed_i_d_locality,20,20,969,3,0,2,0,5,128,125,3,4,NA,NA,NA,NA,PASS
