test_id,test_name,group,status,reason,log_file,summary_csv,implemented,reliable_for_report
P1,perf_icache_fetch_hit_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P2,perf_icache_fetch_miss_refill_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P3,perf_dcache_load_hit_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P4,perf_dcache_load_miss_refill_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P5,perf_dcache_store_hit_latency,A2,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P6,perf_dcache_store_miss_refill_latency,A2,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P7,perf_dirty_eviction_vbuf_writeback_latency,A2,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P8,perf_instruction_fetch_throughput,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P9,perf_data_load_throughput,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P10,perf_data_store_throughput,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P11,perf_memory_refill_throughput,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P12,perf_dirty_writeback_throughput,A2,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P13,perf_mem_latency_no_wait,B,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P14,perf_mem_latency_fixed_wait,B,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P15,perf_mem_latency_random_wait,B,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P16,perf_mem_latency_long_wait,B,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P17,perf_b2b_icache_fetch_hit,C,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P18,perf_b2b_dcache_load_hit,C,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P19,perf_b2b_dcache_store_hit,C,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P20,perf_b2b_load_after_store_same_line,C,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P21,perf_b2b_icache_dcache_miss_contention,C,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P22,perf_b2b_dcache_miss_vbuf_writeback,C,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P23,perf_congestion_dcache_vbuf_full_setup,E,PASS,dirty_full_and_vbuf_busy_full_observed,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,1,1
P24,perf_congestion_1k_fixed_period_requests,E,PASS,congestion_1k_request_window_backpressure_observed,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,1,1
P25,perf_congestion_vbuf_ram_writeback,E,PASS,vbuf_to_ram_writeback_with_80_cycle_delay_observed,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,1,1
P26,perf_congestion_recovery_no_deadlock,E,PASS,congestion_window_drained_no_deadlock,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,1,1
P27,perf_compare_same_benchmark_modes,F,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P28,perf_compare_memory_traffic_reduction,F,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
P29,perf_compare_speedup_hit_miss,F,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,../../logs/uvm_p6_perf_group_e_congestion_full_p6_summary.csv,0,0
