test_id,test_name,group,status,reason,log_file,summary_csv,implemented,reliable_for_report
P1,perf_icache_fetch_hit_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P2,perf_icache_fetch_miss_refill_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P3,perf_dcache_load_hit_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P4,perf_dcache_load_miss_refill_latency,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P5,perf_dcache_store_hit_latency,A2,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P6,perf_dcache_store_miss_refill_latency,A2,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P7,perf_dirty_eviction_vbuf_writeback_latency,A2,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P8,perf_instruction_fetch_throughput,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P9,perf_data_load_throughput,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
P10,perf_data_store_throughput,A1,NOT_RUN,outside_selected_batch,see_QUESTA_log_for_this_make_target,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_p26_seed_3_p6_summary.csv,0,0
