phase,group_id,test_id,test_name,category,main_metric,metric_key,metric_kind,metric_count,metric_min,metric_avg,metric_max,metric_value,measurement_cycles,evidence_status,target_transaction_count,observed_transaction_count,reason,evidence_log,source_csv
6,A1,P1,perf_icache_fetch_hit_latency,Cache transaction latency,min/avg/max fetch hit latency,ifetch_hit_latency,latency_min_avg_max,28867,1,1.000000,1,1.000000,71650,PASS,64,28867,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_p6_summary.csv
6,A1,P2,perf_icache_fetch_miss_refill_latency,Cache transaction latency,min/avg/max miss-refill latency,ifetch_miss_latency,latency_min_avg_max,75,43,76.466667,122,76.466667,71650,PASS,64,75,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_p6_summary.csv
6,A1,P3,perf_dcache_load_hit_latency,Cache transaction latency,min/avg/max load hit latency,load_hit_latency,latency_min_avg_max,8222,3,3.000000,3,3.000000,71650,PASS,32,8222,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_p6_summary.csv
6,A1,P4,perf_dcache_load_miss_refill_latency,Cache transaction latency,min/avg/max load miss-refill latency,load_miss_latency,latency_min_avg_max,38,3,12.157895,88,12.157895,71650,PASS,32,38,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_p6_summary.csv
6,A2,P5,perf_dcache_store_hit_latency,Cache transaction latency,store hit latency; dirty pulse cycle,store_hit_latency,latency_min_avg_max,1,3,3.000000,3,3.000000,71650,PASS,32,1,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_p6_summary.csv
6,A2,P6,perf_dcache_store_miss_refill_latency,Cache transaction latency,min/avg/max store miss-refill latency,store_miss_latency,latency_min_avg_max,33,44,2021.818182,64463,2021.818182,71650,PASS,32,33,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_p6_summary.csv
6,A2,P7,perf_dirty_eviction_vbuf_writeback_latency,Cache transaction latency,eviction-to-writeback-done latency,dirty_vbuf_writeback_latency,latency_min_avg_max,31,165,167.322581,174,167.322581,71650,PASS,4,31,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a2_full_p6_summary.csv
6,A1,P8,perf_instruction_fetch_throughput,Throughput / bandwidth,fetch_completed_per_cycle,instr_per_cycle,throughput_per_cycle,28945,N/A,N/A,N/A,0.403978,71650,PASS,128,28945,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_p6_summary.csv
6,A1,P9,perf_data_load_throughput,Throughput / bandwidth,load_completed_per_cycle,load_per_cycle,throughput_per_cycle,8260,N/A,N/A,N/A,0.115283,71650,PASS,64,8260,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_p6_summary.csv
6,A1,P10,perf_data_store_throughput,Throughput / bandwidth,store_completed_per_cycle,store_per_cycle,throughput_per_cycle,4130,N/A,N/A,N/A,0.057641,71650,PASS,64,4130,accepted_final_questa_uvm_log_pass,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_questa.log,/media/sf_SOURCE_ENV/cv32_full_l1_cache/cv32e40p-master/rtl/l1_cache/logs/uvm_p6_perf_group_a1_full_p6_summary.csv
